Ticket ID,Epic,Type,Priority,Sprint,Summary,Component,Repo Paths,Depends On,Estimate (SP),Acceptance Criteria,Primary Tests,Owner Role
P0-001,COMPLIANCE_RUNTIME,Story,P0,S1,Implement GDPR portability runtime,Compliance,"apps/compliance/gdpr_services.py;apps/compliance/views_gdpr.py;apps/compliance/urls.py",,8,"Art.20 export endpoint returns tenant-scoped machine-readable package; MFA enforced; audit log recorded","unit: gdpr services; integration: portability export",Backend Engineer
P0-002,COMPLIANCE_RUNTIME,Story,P0,S1,Implement GDPR erasure/anonymization runtime,Compliance,"apps/compliance/gdpr_services.py;apps/compliance/views_gdpr.py",P0-001,8,"Art.17 workflow anonymizes required records, preserves legal-retention exceptions, and records immutable audit events","unit: erasure service; integration: erasure request flow",Backend Engineer
P0-003,INTEROP_IDENTITY,Story,P0,S1,Replace OneRoster/LTI stub endpoints,Interop,"apps/api/interop_stubs.py;apps/api/urls.py",,5,"No production endpoint returns stub payload; unsupported routes return documented errors","integration: interop route suite",Platform Engineer
P0-004,INTEROP_IDENTITY,Story,P0,S2,Implement LTI 1.3 launch baseline,Interop,"apps/schools/section8_views.py;apps/siteconfig/models.py",P0-003,8,"OIDC launch request validation works for active tool configs; JWKS endpoint available; invalid tools rejected","integration: LTI launch happy/negative path",Platform Engineer
P0-005,FINANCE_GLOBAL,Story,P0,S1,Productionize MTN MoMo gateway adapter,Finance,"apps/finance/gateways/mtn_momo.py;apps/finance/views.py",,8,"Adapter no longer returns placeholder payloads; callback parsing, signature verification, idempotency, and reconciliation pass","integration: gateway callback tests",Finance Engineer
P0-006,FINANCE_GLOBAL,Story,P0,S1,Productionize Orange Money gateway adapter,Finance,"apps/finance/gateways/orange_money.py;apps/finance/views.py",,8,"Adapter no longer returns placeholder payloads; callback parsing, signature verification, idempotency, and reconciliation pass","integration: gateway callback tests",Finance Engineer
P0-007,PLATFORM_GUARDRAILS,Bug,P0,S1,Add rate limiting to lead capture API,Security,"apps/api/lead_capture_api.py;apps/compliance/views_ratelimit.py",,5,"Public lead endpoint enforces per-IP and per-school throttles; excessive requests return 429 with retry hints","integration: lead capture abuse tests",Security Engineer
P0-008,PLATFORM_GUARDRAILS,Story,P0,S1,Activate compliance guard path map,Compliance,"apps/compliance/middleware.py;apps/compliance/models.py",P0-001|P0-002,5,"Restricted region features are blocked deterministically with 403 and feature code","integration: restricted-path tests",Backend Engineer
P0-009,FINANCE_GLOBAL,Bug,P0,S1,Fix disbursement application id bug,Finance,"apps/finance/aid_services.py",,2,"Disbursement reason and response return correct application_id variable without runtime NameError","unit: aid service disbursement",Finance Engineer
P0-010,PLATFORM_GUARDRAILS,Story,P0,S2,Remove payment processor override import pattern,Finance,"apps/finance/payment_processors.py",,3,"Single authoritative factory remains; no late import replacement in module tail","unit: processor factory resolution",Finance Engineer
P0-011,INTEROP_IDENTITY,Story,P1,S2,Consolidate Integration and ServiceIntegration ownership,Platform,"apps/siteconfig/models.py",,5,"Model responsibilities are explicit; migration and backward-compatibility notes provided","unit: model constraints; migration tests",Platform Engineer
P0-012,PLATFORM_GUARDRAILS,Task,P1,S2,Normalize skipped video conferencing suites,Communication,"apps/communication/test_video_conferencing.py",,3,"Skipped tests are either re-enabled with valid setup or marked deprecated with replacement coverage","test: communication suite",QA Engineer
CFG-101,REGIONAL_CONFIG,Story,P0,S3,Build effective configuration compiler,Config,"apps/siteconfig/tenant_config.py;apps/siteconfig/models.py",P0-008,8,"Config precedence resolves deterministically across global, region, profile, tenant, campus, and user layers","unit: precedence matrix; integration: tenant locale resolution",Platform Engineer
